"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-04-30","92.1","-2.42","5.84","Gausman, Kevin",668885,592332,,"called_strike",,,,,7,,"R","R","R","MIN","TOR","S",,,3,1,2026,"-0.94","1.45",-0.48061666876397147,1.652541933629733,663616,,,2,6,"Bot",,,,,,,6.981254683370084,-133.85981664810865,-7.818659083790836,-12.75493998610078,27.291270338709047,-13.185299798693311,3.12960958,1.579429134,,,,"92.8",2240,"6.7",823714,678218,665489,676391,672960,665926,682818,662139,660821,"53.84",,,,,,,,46,5,"4-Seam Fastball",3,1,3,1,1,3,3,1,"Standard","Standard",214,"-0.001","-0.058",,,,,"0.058",,2,2,0.842,0.842,35,27,35,27,3,2,5,1,5,1,"1.23","0.94","0.94","35.1",,,,,
"CU","2026-04-30","70.8","-1.66","5.66","Bassitt, Chris",543877,605135,,"ball",,,,,14,,"R","R","R","BAL","HOU","B",,,0,0,2026,"1.37","-0.98",0.8162295516740226,1.2826353790996574,,694728,687957,2,7,"Top",,,,,,,2.420719551140513,-102.84883282199729,1.2609427726506681,8.956438216693135,22.98237598381268,-39.527053993721985,3.036581365,1.532480315,,,,"69.5",2320,"6.1",824848,668939,624413,669236,691723,677942,621493,681297,687637,"54.36",,,,,,,,54,1,"Curveball",5,0,0,5,0,5,0,5,"Standard","Standard",49,"-0.002","0.028",,,,,"-0.028",,5,-5,0.971,0.029000000000000026,37,35,37,36,3,2,8,4,5,1,"5.68","-1.37","-1.37","35.7",,,,,
"FF","2026-04-30","91.6","0.75","6.3","Cameron, Noah",671732,702070,,"called_strike",,,,,6,,"R","L","L","ATH","KC","S",,,0,0,2026,"0.48","1.48",0.7610994617084426,2.488578983018825,,,680869,0,6,"Bot",,,,,,,-1.0252246480053526,-133.31874352700592,-6.789147933731258,5.958918192408952,28.483315376166722,-13.218004734877116,3.34375,1.6875,,,,"91.4",2293,"6.1",825016,553869,521692,679845,672580,677951,686555,657041,516782,"54.37",,,,,,,,58,1,"4-Seam Fastball",5,2,5,2,2,5,5,2,"Standard","Standard",152,"-0.002","-0.04",,,,,"0.04",,3,3,0.923,0.923,26,25,27,26,3,2,6,1,10,1,"1.23","0.48","0.48","58.9",,,,,
"FF","2026-04-30","91.6","-2.39","5.9","Gausman, Kevin",668885,592332,,"ball",,,,,12,,"R","R","R","MIN","TOR","B",,,1,0,2026,"-0.87","1.3",0.2576194196502338,3.3826428604155327,663616,,,2,6,"Bot",,,,,,,8.56337455759125,-133.1483025216311,-3.1742928081994073,-12.163691555757286,28.63799825883762,-16.214433599513157,3.12960958,1.579429134,,,,"92.2",2107,"6.7",823714,678218,665489,676391,672960,665926,682818,662139,660821,"53.8",,,,,,,,46,2,"4-Seam Fastball",3,1,3,1,1,3,3,1,"Standard","Standard",220,"0","0.024",,,,,"-0.024",,2,2,0.841,0.841,35,27,35,27,3,2,5,1,5,1,"1.42","0.87","0.87","37.9",,,,,
"CH","2026-04-30","85.3","-1.85","5.18","Bassitt, Chris",687957,605135,,"ball",,,,,14,,"R","L","R","BAL","HOU","B",,,0,0,2026,"-1.23","0.36",0.8965746793367708,1.7926344342960032,,,694728,2,7,"Top",,,,,,,8.827441550023101,-123.9285612224005,-2.191021863609585,-14.376352834261654,23.56314664563699,-28.178387242806547,3.31742126,1.674212598,,,,"85.1",1815,"6.1",824848,668939,624413,669236,691723,677942,621493,681297,687637,"54.39",,,,,,,,53,1,"Changeup",5,0,0,5,0,5,0,5,"Standard","Standard",255,"-0.001","0.034",,,,,"-0.034",,5,-5,0.979,0.02100000000000002,37,26,37,27,3,2,8,2,5,0,"2.77","1.23","-1.23","21.7",,,,,
"ST","2026-04-30","81.7","-1.36","5.05","McCullers Jr., Lance",694212,621121,,"called_strike",,,,,8,,"R","L","R","BAL","HOU","S",,,1,1,2026,"1.39","0.6",-0.1737448506306729,1.8871160546320058,,,,1,6,"Bot",,,,,,,-0.08327666523299176,-119.09276147818385,-1.5833811895208547,13.304569489901114,21.837993387330673,-26.322345847845476,3.393774606,1.712746063,,,,"81.5",2680,"6",824850,673237,572233,694728,670623,669699,687957,669288,701358,"54.52",,,,,,,,58,3,"Sweeper",3,11,3,11,11,3,3,11,"Infield shade","Standard",76,"-0.001","-0.071",,,,,"0.071",,-8,-8,0.007,0.007,32,21,33,22,3,2,6,2,6,1,"2.79","-1.39","1.39","26.0",,,,,
"FC","2026-04-30","91.2","-2.53","5.88","Lambert, Peter",677942,663567,,"ball",,,,,13,,"R","R","R","BAL","HOU","B",,,2,2,2026,"0.02","0.8",-0.8725793178770278,1.9473030319675886,,,,1,5,"Bot",,,,,,,4.057201094448263,-132.78756311997302,-5.545992800854999,-0.5430463700841003,27.131012357858623,-21.70167348522499,3.178756562,1.604232283,,,,"91.2",2197,"6.2",824848,543877,572233,514888,670623,621043,670541,694728,687957,"54.32",,,,,,,,37,5,"Cutter",1,0,1,0,0,1,1,0,"Standard","Standard",193,"0.005","0.111",,,,,"-0.111",,1,1,0.685,0.685,29,27,29,27,2,1,8,4,5,0,"1.92","-0.02","-0.02","49.6",,,,,
"CH","2026-04-30","86.7","-2.03","4.79","Webb, Logan",665561,657277,,"ball",,,,,7,,"R","L","R","PHI","SF","B",,,0,0,2026,"-1","-0.64",-0.5964124837870489,1.4595904055581248,,,702222,1,7,"Bot",,,,,,,5.48378421158643,-126.17503897223553,-0.23344248713218008,-11.844069641114931,25.499696309080463,-39.1721005295619,3.055889108,1.542224409,,,,"86.9",1400,"6.4",823472,672275,646240,650333,656305,642715,671218,687551,808982,"54.11",,,,,,,,55,1,"Changeup",1,2,1,2,2,1,1,2,"Infield shade","Standard",264,"0.008","0.035",,,,,"-0.035",,-1,-1,0.37,0.37,29,27,30,27,3,2,7,2,5,1,"3.67","1","-1","14.5",,,,,
"SI","2026-04-30","94.6","0.56","6.07","Valdez, Framber",663586,664285,,"ball",,,,,3,,"R","R","L","ATL","DET","B",,,2,1,2026,"1.26","0.22",0.7806947856434199,3.279244657390493,,,,0,6,"Bot",,,,,,,-2.2479288455396227,-137.7139760161967,-1.8437628855275987,16.43043377432026,32.68413055814347,-29.231768620425605,3.273540026,1.652066929,,,,"93.4",2150,"5.7",824929,668670,679529,650402,701678,805808,682985,663837,681481,"54.82",,,,,,,,49,4,"Sinker",2,1,2,1,1,2,2,1,"Standard","Standard",137,"0.01","0.137",,,,,"-0.137",,1,1,0.743,0.743,32,29,33,29,3,2,6,1,5,1,"2.34","1.26","-1.26","41.3",,,,,
"SI","2026-04-30","97.4","-2.41","5.44","Skenes, Paul",676475,694973,,"ball",,,,,14,,"R","L","R","PIT","STL","B",,,0,0,2026,"-1.3","0.52",1.041675101414684,1.8312538402066332,,,802139,1,5,"Top",,,,,,,12.27029028084606,-141.32769558864277,-5.22208681016167,-20.09746671032893,30.622206597312463,-24.16277383389511,3.215616798,1.622834646,,,,"98.4",2214,"6.9",823391,680779,687462,664040,693304,804606,663968,665833,668804,"53.59",,,,,,,,37,1,"Sinker",1,4,4,1,4,1,4,1,"Standard","Standard",239,"-0.002","0.035",,,,,"-0.035",,-3,3,0.163,0.837,24,27,24,28,3,2,6,1,6,1,"1.89","1.3","-1.3","24.2",,,,,
