"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2026-08-15","85.6","2.76","5.38","Luzardo, Jesús",701785,666200,,"ball",,,,,12,,"R","R","L","MIN","PHI","B",,,1,2,2026,"-0.43","-0.07",0.8925590662098165,2.948993635889056,,,668952,0,7,"Bot",,,,,,,-3.4281883538342925,-124.57840514687673,0.8846682999871842,-3.7133051246939677,26.35383470592541,-33.365367414433216,3.131364829,1.580314961,,,,"84.3",2675,"5.6",823671,592663,664761,650333,681082,607208,624641,656537,547180,"54.92",,,,,,,,63,4,"Sweeper",1,8,1,8,8,1,1,8,"Infield shade","Standard",316,"0.001","0.043",,,,,"-0.043",,-7,-7,0.016,0.016,28,23,29,24,3,2,6,2,6,1,"3.2","-0.43","0.43","24.0",,,,,
"FF","2026-08-15","93.5","2.55","5.58","Luzardo, Jesús",668952,666200,,"ball",,,,,13,,"R","R","L","MIN","PHI","B",,,2,0,2026,"1.18","0.9",-0.6857081178847473,1.4413201487256588,,,,0,7,"Bot",,,,,,,-10.753873823912954,-135.71702472199973,-6.647885993698502,16.86852959084477,28.362809538058272,-19.701837788869483,3.340239501,1.685728347,,,,"92.8",2133,"5.9",823671,592663,664761,650333,681082,607208,624641,656537,547180,"54.58",,,,,,,,62,3,"4-Seam Fastball",1,8,1,8,8,1,1,8,"Infield shade","Standard",119,"0.002","0.148",,,,,"-0.148",,-7,-7,0.013,0.013,28,28,29,29,3,2,6,3,6,8,"1.71","1.18","-1.18","27.8",,,,,
"FF","2026-08-15","91.8","-2.16","5.83","McGreevy, Michael",699393,700241,,"called_strike",,,,,12,,"R","L","R","CHC","STL","S",,,0,0,2026,"-0.54","1.15",0.08050563700597602,3.34258185969301,,,,2,6,"Bot",,,,,,,6.850039344720216,-133.64865655876557,-2.867442646861432,-7.898434188084906,26.996898982541015,-17.890762775599644,3.088361221,1.558612205,,,,"92.8",2327,"6.7",824644,686780,676475,802139,691458,691026,695491,677592,691023,"53.8",,,,,,,,53,1,"4-Seam Fastball",3,7,3,7,7,3,3,7,"Standard","Standard",232,"-0.001","-0.043",,,,,"0.043",,-4,-4,0.066,0.066,25,22,26,22,3,2,6,2,5,1,"1.53","0.54","-0.54","35.1",,,,,
"FF","2026-08-15","95.5","2.13","5.62","Wrobleski, Justin",641343,680736,,"ball",,,,,12,,"R","L","L","LAD","MIL","B",,,0,1,2026,"0.28","1.44",0.3778482781128766,3.5549188390246504,,,,1,6,"Top",,,,,,,-5.126785427329156,-139.12333374694128,-2.9472340950699207,4.744958916118611,29.64467878491981,-12.913453469794607,3.217372047,1.623720472,,,,"94.5",2589,"5.5",823914,676439,518692,669242,571970,605141,606192,681624,669743,"54.95",,,,,,,,42,2,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Standard","Standard",152,"-0.001","0.033",,,,,"-0.033",,-3,3,0.149,0.851,25,30,26,31,3,2,6,1,,1,"1.04","0.28","0.28","38.1",,,,,
"ST","2026-08-15","84.6","2.5","5.56","Wrobleski, Justin",641343,680736,,"called_strike",,,,,8,,"R","L","L","LAD","MIL","S",,,0,0,2026,"-1.36","-0.06",-0.02830133344714958,1.5582306119213003,,,,1,6,"Top",,,,,,,-3.017130783699596,-123.21774799134785,-2.629811424503157,-13.259570122537392,24.405611807947974,-32.46725015336672,3.217372047,1.623720472,,,,"83.4",2731,"5.5",823914,676439,518692,669242,571970,605141,606192,681624,669743,"55.04",,,,,,,,42,1,"Sweeper",1,4,4,1,4,1,4,1,"Standard","Standard",311,"0.001","-0.041",,,,,"0.041",,-3,3,0.148,0.852,25,30,26,31,3,2,6,1,,1,"3.24","-1.36","-1.36","36.5",,,,,
"FF","2026-08-15","91.7","2.33","5.16","Boyd, Matthew",691458,571510,,"ball",,,,,12,,"R","R","L","CHC","STL","B",,,0,1,2026,"1.37","0.94",0.8937477473161324,2.5022999671844746,,,,1,6,"Top",,,,,,,-6.574663659760233,-133.37232445713303,-2.6773991485547732,17.7604520014721,30.53997903371399,-20.65183881629996,3.23667979,1.633464567,,,,"91.3",2357,"6.2",824644,665804,683737,699393,608324,663538,664023,691718,673548,"54.27",,,,,,,,48,2,"4-Seam Fastball",3,6,6,3,6,3,6,3,"Standard","Standard",120,"-0.001","0.033",,,,,"-0.033",,-3,3,0.149,0.851,35,23,35,24,3,2,6,3,6,1,"1.79","1.37","-1.37","18.4",,,,,
"SI","2026-08-15","90.1","-2.15","5.71","McGreevy, Michael",663538,700241,,"called_strike",,,,,8,,"R","R","R","CHC","STL","S",,,1,1,2026,"-1.01","0.64",-0.24851128100007547,1.781489393528423,,,,1,6,"Bot",,,,,,,6.926430516232621,-131.08501781038117,-5.038378988491813,-13.07330435879976,24.822648727280868,-23.998569483178688,3.185777559,1.607775591,,,,"91.4",2281,"6.9",824644,686780,676475,802139,691458,691026,695491,677592,691023,"53.62",,,,,,,,52,3,"Sinker",3,7,3,7,7,3,3,7,"Standard","Standard",222,"-0.003","-0.071",,,,,"0.071",,-4,-4,0.077,0.077,25,29,26,29,3,2,6,1,5,1,"2.15","1.01","1.01","32.6",,,,,
"CU","2026-08-15","72.4","2.18","5.59","Boyd, Matthew",691458,571510,,"called_strike",,,,,13,,"R","R","L","CHC","STL","S",,,0,0,2026,"-1.29","-0.93",-0.9713693611570242,1.8334296328762392,,,,1,6,"Top",,,,,,,-3.9324200551996387,-105.30988248374582,1.8783390560812225,-8.761367217206145,20.48274598253112,-39.666951700666935,3.23667979,1.633464567,,,,"71.6",2548,"6",824644,665804,683737,699393,608324,663538,664023,691718,673548,"54.47",,,,,,,,48,1,"Curveball",3,6,6,3,6,3,6,3,"Standard","Standard",306,"0.001","-0.041",,,,,"0.041",,-3,3,0.148,0.852,35,23,35,24,3,2,6,3,6,1,"5.34","-1.29","1.29","30.4",,,,,
"FC","2026-08-15","95.1","-1.92","6.05","Schlittler, Cam",660821,693645,"walk","ball",,,,,11,"Jesús Sánchez walks.","R","L","R","TOR","NYY","B",,,3,2,2026,"0.47","0.87",-0.5460784279319009,3.737007352192162,,,,1,6,"Bot",,,,,,,2.493410301316396,-138.54722711047464,-2.2467823408397005,5.577848958012188,29.780669483808516,-20.689399594486353,3.334973753,1.683070866,,,,"95.5",2736,"6.4",822775,669224,671277,665862,641857,806146,671218,663757,682987,"54.11",,0.698092,"0.7",1,0,0,,43,6,"Cutter",1,1,1,1,1,1,1,1,"Strategic","Standard",170,"0.031","0.337",,,,,"-0.337",,0,0,0.547,0.547,25,28,25,29,3,2,6,1,6,3,"1.64","-0.47","0.47","37.8",,,,,
"ST","2026-08-15","87.2","2.69","5.22","Luzardo, Jesús",686797,666200,,"ball",,,,,13,,"R","R","L","MIN","PHI","B",,,1,1,2026,"-0.8","0.12",-0.947306601666031,1.6029093067990785,,668904,,2,6,"Bot",,,,,,,-6.872890475248265,-126.81199435595997,-2.487166930869322,-7.088409778978434,28.152552466667316,-30.52019624465044,3.208595801,1.619291339,,,,"86.1",2591,"5.8",823671,592663,664761,650333,681082,607208,624641,656537,547180,"54.7",,,,,,,,56,3,"Sweeper",1,8,1,8,8,1,1,8,"Infield shade","Standard",330,"0","0.038",,,,,"-0.038",,-7,-7,0.013,0.013,28,25,29,25,3,2,6,2,6,1,"2.9","-0.8","0.8","19.8",,,,,
"ST","2026-08-15","75.3","3.35","5.3","Manaea, Sean",683083,640455,,"ball",,,,,12,,"R","R","L","NYM","WSH","B",,,0,1,2026,"-0.89","0.44",0.9868759239537335,3.0220229023609058,,,,0,7,"Top",,,,,,,-3.2514682262592647,-109.51097890636909,1.8788752497628862,-6.527372702413739,20.655292022625108,-29.27133161937035,3.045357612,1.536909449,,,,"75.4",2291,"6.6",823588,682626,676724,543760,666182,596019,683146,805999,701807,"53.92",,,,,,,,51,2,"Sweeper",3,4,4,3,4,3,4,3,"Infield shade","Standard",282,"-0.003","0.029",,,,,"-0.029",,-1,1,0.312,0.688,34,25,34,26,3,2,6,1,6,3,"3.61","-0.89","0.89","15.7",,,,,
"CU","2026-08-15","84.9","1.3","6.06","Prielipp, Connor",592663,687570,,"called_strike",,,,,11,,"R","R","L","MIN","PHI","S",,,0,0,2026,"-1.11","-0.28",-0.19654051243943949,3.3453227387515945,,,,2,5,"Top",,,,,,,-1.190612586116658,-123.72440945282497,0.6808516756716274,-11.2550618399065,23.72784276947569,-35.43297016698968,3.199819554,1.614862205,,,,"84.3",3382,"5.8",823671,680777,668904,668952,686797,701785,668885,621439,807712,"54.74",,,,,,,,42,1,"Curveball",0,8,8,0,8,0,8,0,"Standard","Standard",316,"0","-0.043",,,,,"0.043",,-8,8,0.014,0.986,25,35,25,35,3,2,6,2,6,1,"3.43","-1.11","1.11","43.3",,,,,
"FF","2026-08-15","100.1","-2.24","5.08","Misiorowski, Jacob",571970,694819,"walk","ball",,,,,11,"Max Muncy walks.","R","L","R","LAD","MIL","B",,,3,1,2026,"-1.14","1.32",-0.6386758765375651,3.4824052833254893,,,,1,6,"Bot",,,,,,,7.301090791741526,-145.52188896429087,-2.069068937883937,-17.939728728381738,35.43840660613973,-13.190713455726728,3.127854331,1.578543307,,,,"102.4",2718,"7.7",823914,661388,641343,680716,683734,687401,694192,800325,663604,"52.82",,0.698092,"0.7",1,0,0,,46,5,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Strategic","Standard",226,"0.019","0.243",,,,,"-0.243",,-3,-3,0.148,0.148,24,35,24,36,3,2,6,1,6,1,"0.97","1.14","-1.14","29.9",,,,,
