"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2026-03-31","83.5","-1.96","4.81","Webb, Logan",657757,657277,,"called_strike",,,,,9,,"R","L","R","SD","SF","S",,,0,0,2026,"0.86","0.13",0.5889427170641686,1.68127651512925,,,,2,6,"Bot",,,,,,,4.1186100851067,-121.5552764054204,-0.7916609346805157,7.6083925131653425,25.67827063574956,-30.913780262360124,3.350770997,1.691043307,,,,"84.2",2527,"6.9",823322,672275,669477,650333,656305,642715,671218,664056,808982,"53.57",,,,,,,,57,1,"Sweeper",3,8,3,8,8,3,3,8,"Infield shade","Standard",53,"-0.001","-0.043",,,,,"0.043",,-5,-5,0.036,0.036,29,30,30,30,3,2,6,1,5,1,"3.15","-0.86","0.86","19.0",,,,,
"ST","2026-03-31","83.3","-1.93","4.87","Webb, Logan",593428,657277,,"ball",,,,,11,,"R","R","R","SD","SF","B",,,2,2,2026,"1.11","-0.01",-1.018016668311845,3.366632192618662,,,,0,6,"Bot",,,,,,,-0.16075503590459367,-121.20702796536624,3.303174388122203,10.88602595336965,27.355651759691057,-33.24258740865155,3.284949147,1.657824803,,,,"83.4",2558,"6.7",823322,672275,669477,650333,656305,642715,671218,664056,808982,"53.76",,,,,,,,55,6,"Sweeper",3,8,3,8,8,3,3,8,"Strategic","Standard",61,"0.006","0.112",,,,,"-0.112",,-5,-5,0.055,0.055,29,33,30,34,3,2,6,1,5,1,"3.34","-1.11","-1.11","20.1",,,,,
"FF","2026-03-31","98","-1.73","5.86","Senga, Kodai",701675,673540,"strikeout","called_strike",,,,,7,"Nathan Church challenged (pitch result), call on the field was confirmed: Nathan Church called out on strikes.","R","L","R","STL","NYM","S",2,,0,2,2026,"-0.47","1.27",-0.6193435087861594,1.5966468893858576,,,,2,6,"Bot",,,,,,,4.086809415394919,-142.43031296009403,-8.801077335308086,-7.326968684876935,32.111346050855964,-13.124552058879635,3.112934711,1.57101378,,,,"98.4",2555,"6.5",823077,620443,676724,543760,666182,596019,665742,673357,701807,"53.95",,0,"0",1,0,0,,48,3,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Standard",213,"-0.004","-0.154",,,,,"0.154",,2,2,0.819,0.819,33,25,33,26,3,2,,1,5,1,"1.11","0.47","-0.47","51.7",,,,,
"SL","2026-03-31","86.8","-0.94","6.09","Gilbert, Logan",519317,669302,,"called_strike",,,,,8,,"R","R","R","SEA","NYY","S",,,0,0,2026,"0.11","-0.01",0.017192582004053325,1.8372604890598296,641355,,700250,1,6,"Top",,,,,,,2.075905857065482,-126.44495400345856,-3.8167574862478104,0.724112019038139,25.675856743427104,-31.68381732568405,3.431512467,1.731791339,,,,"88.8",1882,"7.5",823158,663728,647304,702284,680977,660844,668227,677594,645302,"53.01",,,,,,,,41,1,"Slider",0,3,3,0,3,0,3,0,"Standard","Standard",36,"0.005","-0.05",,,,,"0.05",,-3,3,0.104,0.896,29,36,29,37,3,2,5,1,6,3,"3.02","-0.11","-0.11","47.0",,,,,
"SL","2026-03-31","87","-0.87","6.05","Gilbert, Logan",700250,669302,"walk","ball",,,,,14,"Ben Rice walks.","R","L","R","SEA","NYY","B",,,3,1,2026,"0.09","-0.19",0.9877686111832527,1.586450022757977,641355,,,1,6,"Top",,,,,,,4.289757836728151,-126.70238796794725,-3.9844503154095903,0.16017298393092835,25.05955829360863,-33.651311339953146,3.280561024,1.655610236,,,,"89.1",1952,"7.5",823158,663728,647304,702284,680977,660844,668227,677594,645302,"53.01",,0.698092,"0.7",1,0,0,,40,5,"Slider",0,3,3,0,3,0,3,0,"Strategic","Standard",70,"-0.003","0.137",,,,,"-0.137",,-3,3,0.107,0.893,29,27,29,27,3,2,5,1,6,1,"3.19","-0.09","0.09","47.6",,,,,
"FF","2026-03-31","94.6","-1.44","6.08","Pallante, Andre",666182,669467,,"called_strike",,,,,4,,"R","R","R","STL","NYM","S",,,3,0,2026,"-0.37","1.02",-0.6635990974882465,2.4523037422508533,,665742,,0,6,"Top",,,,,,,2.863655257089608,-137.63563366077847,-5.88234235137792,-5.405577345253344,31.34923846838291,-18.06155531012595,3.162081693,1.595816929,,,,"94.7",2390,"6.4",823077,671056,676475,802139,602104,691026,701675,687363,691023,"54.07",,,,,,,,43,4,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard",184,"0.011","-0.075",,,,,"0.075",,2,-2,0.663,0.33699999999999997,27,28,28,28,3,2,,1,6,1,"1.53","0.37","0.37","60.3",,,,,
"FS","2026-03-31","87.9","-2.3","5.76","Mize, Casey",672695,663554,,"called_strike",,,,,4,,"R","L","R","AZ","DET","S",,,0,0,2026,"-1.09","-0.05",-0.5850802440003069,2.3735252901202784,,,,1,6,"Bot",,,,,,,6.464907530552228,-127.8214115638663,-1.764601972242331,-13.268062918415508,26.31365290149146,-32.59763660123137,3.31742126,1.674212598,,,,"88.7",1322,"6.8",825107,668670,679529,650402,690993,805808,682985,678009,656716,"53.65",,,,,,,,46,1,"Split-Finger",1,5,1,5,5,1,1,5,"Infield shade","Standard",244,"-0.002","-0.041",,,,,"0.041",,-4,-4,0.078,0.078,29,26,29,27,3,2,,1,6,1,"3.01","1.09","-1.09","42.1",,,,,
"SI","2026-03-31","90.1","1.53","5.84","Fried, Max",668227,608331,,"called_strike",,,,,3,,"R","R","L","SEA","NYY","S",,,1,0,2026,"1.01","0.47",0.5775096126927065,3.1783273108862633,,,,2,7,"Bot",,,,,,,-4.536663282387018,-131.22831343202097,-1.5000682200105664,12.65527596783581,27.460252778855217,-26.619499682097373,3.127854331,1.578543307,,,,"90.6",2054,"6.5",823158,641555,700250,665862,641857,676609,641355,663757,592450,"53.96",,,,,,,,53,2,"Sinker",0,5,0,5,5,0,0,5,"Strategic","Standard",151,"0","-0.054",,,,,"0.054",,-5,-5,0.021,0.021,32,31,32,31,3,2,6,1,5,1,"2.33","1.01","-1.01","41.6",,,,,
"SI","2026-03-31","92.9","-1.86","4.87","Webb, Logan",665487,657277,,"ball",,,,,13,,"R","R","R","SD","SF","B",,,0,0,2026,"-1.5","0.17",-0.8472652536286003,1.5783808607874974,,,,0,5,"Bot",,,,,,,5.962974787557173,-135.04047272248306,-2.781425163227475,-19.609069927156987,31.844534705765476,-29.672505451463792,3.346382874,1.68882874,,,,"93.6",1960,"7",823322,672275,669477,650333,656305,642715,671218,664056,808982,"53.54",,,,,,,,44,1,"Sinker",3,4,3,4,4,3,3,4,"Standard","Standard",239,"0.006","0.043",,,,,"-0.043",,-1,-1,0.415,0.415,29,27,30,27,3,2,6,1,5,1,"2.49","1.5","1.5","22.4",,,,,
"FF","2026-03-31","95.4","-1.81","6.04","Senga, Kodai",669357,673540,,"ball",,,,,14,,"R","L","R","STL","NYM","B",,,0,1,2026,"-0.24","1.32",1.0807095236764623,1.7649371407064076,,,,0,6,"Bot",,,,,,,8.081097086190754,-138.48310649229933,-8.381277023094384,-4.9319822656517065,31.737211540963234,-13.501280747774343,3.217372047,1.623720472,,,,"95.6",2418,"6.6",823077,620443,676724,543760,666182,596019,665742,673357,701807,"53.9",,,,,,,,46,2,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Strategic","Strategic",208,"0.001","0.029",,,,,"-0.029",,2,2,0.843,0.843,33,26,33,26,3,2,,1,5,1,"1.21","0.24","-0.24","52.8",,,,,
