"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-05-15","95.7","-1.06","5.9","Baz, Shane",678554,669358,,"called_strike",,,,,9,,"R","R","R","WSH","BAL","S",,,1,1,2026,"-1.12","1.19",0.8114516623242753,2.051605826654974,,,695578,2,7,"Bot",,,,,,,7.521835237183452,-138.99638280614874,-7.048469910945437,-16.29072108958682,32.26509840389843,-15.32215064407921,3.247211286,1.638779528,,,,"96.2",2329,"6.8",822739,668939,624413,669236,691723,683002,621493,677942,641933,"53.73",,,,,,,,58,3,"4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard",224,"-0.002","-0.066",,,,,"0.066",,3,3,0.934,0.934,27,25,27,26,4,3,6,2,5,1,"1.32","1.12","1.12","37.6",,,,,
"FF","2026-05-15","94.4","-0.91","5.7","Junk, Janson",802415,676083,,"called_strike",,,,,4,,"R","L","R","TB","MIA","S",,,0,0,2026,"-0.68","1.73",-0.6633770469263311,2.4691680454844978,,676439,,2,6,"Bot",,,,,,,2.1677744243838286,-137.23697687836156,-6.3660720868582095,-9.016453680045615,34.24917817265436,-9.129990157176442,3.177878937,1.60378937,,,,"93.9",2385,"6.4",822983,691788,666624,669364,681393,672640,669065,805300,665923,"54.13",,,,,,,,54,1,"4-Seam Fastball",7,2,7,2,2,7,7,2,"Strategic","Standard",208,"-0.001","-0.038",,,,,"0.038",,5,5,0.972,0.972,30,25,30,26,4,3,6,2,5,1,"0.86","0.68","-0.68","47.0",,,,,
"SL","2026-05-15","85.4","-1.08","5.6","Junk, Janson",670764,676083,"strikeout","called_strike",,,,,2,"Taylor Walls called out on strikes.","R","L","R","TB","MIA","S",2,,3,2,2026,"0.54","0.09",0.0467264338793103,3.0298932095408184,,676439,,1,6,"Bot",,,,,,,1.5239798724385087,-124.46062122981344,0.2422208505178427,5.3297430188146135,25.02602548710514,-31.506724185170075,3.055889108,1.542224409,,,,"85.8",2348,"6.5",822983,691788,666624,669364,681393,672640,669065,805300,665923,"54.01",,0,"0",1,0,0,,53,8,"Slider",7,2,7,2,2,7,7,2,"Standard","Standard",134,"-0.004","-0.31",,,,,"0.31",,5,5,0.976,0.976,30,29,30,30,3,2,6,2,5,1,"3.03","-0.54","0.54","43.5",,,,,
"SI","2026-05-15","96.3","-1.13","5.7","Leiter, Jack",543877,683004,"strikeout","called_strike",,,,,9,"Christian Vázquez challenged (pitch result), call on the field was confirmed: Christian Vázquez called out on strikes.","R","R","R","HOU","TEX","S",2,,2,2,2026,"-1.2","1.11",0.3110375781059418,1.4812691412243684,,,,2,7,"Bot",,,,,,,6.610510914815193,-139.82778349164755,-7.9781343764094075,-17.207077035394818,33.679171873276445,-15.91140668468083,3.036581365,1.532480315,,,,"97.1",2367,"7",824194,543309,669394,679822,673962,677649,696030,694497,607043,"53.51",,0,"0",1,0,0,,51,5,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",212,"-0.008","-0.22",,,,,"0.22",,1,1,0.753,0.753,26,35,26,36,3,2,6,2,5,1,"1.37","1.2","1.2","45.4",,,,,
"FF","2026-05-15","91.1","-2.17","4.96","Arrighetti, Spencer",696030,681293,,"called_strike",,,,,3,,"R","L","R","HOU","TEX","S",,,2,0,2026,"-0.98","1.35",0.6109126669236884,2.706171847566719,,,,0,8,"Top",,,,,,,9.222754699025483,-132.29194789343134,-2.5034808692183366,-13.50854870035834,30.265940106999533,-16.061831493807446,3.073441601,1.551082677,,,,"92.6",2362,"7.5",824194,543877,572233,694728,670623,669699,701305,805904,701358,"53.04",,,,,,,,52,3,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",226,"0.017","-0.075",,,,,"0.075",,1,-1,0.719,0.281,26,23,26,24,3,2,6,2,7,1,"1.43","0.98","-0.98","20.0",,,,,
"FF","2026-05-15","94.9","-0.92","5.86","Ashcraft, Braxton",596117,677952,,"ball",,,,,11,,"R","L","R","PIT","PHI","B",,,0,0,2026,"-0.83","1.27",-0.7807491890279724,3.261386886892046,,,702222,0,7,"Top",,,,,,,2.2593828217625305,-138.25858886343636,-3.913269775351343,-11.229706541654425,27.711877286389264,-15.131470183874972,3.073441601,1.551082677,,,,"95.2",2284,"6.2",823384,682848,687462,664040,669707,804606,668804,665833,656811,"54.35",,,,,,,,56,1,"4-Seam Fastball",8,3,3,8,3,8,3,8,"Infield shade","Standard",230,"-0.003","0.037",,,,,"-0.037",,5,-5,0.95,0.050000000000000044,26,33,27,33,3,2,6,8,6,18,"1.23","0.83","-0.83","33.4",,,,,
"SI","2026-05-15","94.1","-1.62","6.1","Kochanowicz, Jack",808975,686799,,"called_strike",,,,,3,,"R","L","R","LAA","LAD","S",,,0,0,2026,"-0.73","-0.09",0.741532906466389,2.7691237697639086,,,,2,6,"Top",,,,,,,7.703123681046525,-136.8943100621782,-2.5078120208675796,-10.911882349714853,30.857896462373507,-32.904343629192056,3.124343832,1.576771654,,,,"94",2108,"6.3",824037,665861,694384,672724,687093,687263,666139,545361,666176,"54.19",,,,,,,,45,1,"Sinker",0,6,6,0,6,0,6,0,"Infield shade","Standard",226,"0","-0.043",,,,,"0.043",,-6,6,0.031,0.969,25,27,26,27,3,2,6,1,5,1,"2.67","0.73","-0.73","32.9",,,,,
"SI","2026-05-15","96.6","-1.11","5.76","Leiter, Jack",543877,683004,,"called_strike",,,,,4,,"R","R","R","HOU","TEX","S",,,0,0,2026,"-0.99","1.39",-0.6935021356453948,1.9965430982569838,,,,2,7,"Bot",,,,,,,3.431679600948004,-140.42815601702435,-7.475215402685663,-13.87019912886112,33.78255409486914,-12.279098441841263,3.036581365,1.532480315,,,,"97.2",2392,"6.8",824194,543309,669394,679822,673962,677649,696030,694497,607043,"53.68",,,,,,,,51,1,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",206,"-0.002","-0.043",,,,,"0.043",,1,1,0.755,0.755,26,35,26,36,3,2,6,2,5,1,"1.07","0.99","0.99","45.4",,,,,
"CH","2026-05-15","87.4","-1.06","6.24","Holmes, Clay",665862,605280,,"ball",,,,,14,,"R","L","R","NYM","NYY","B",,,2,1,2026,"-0.69","0.7",0.27236559672959293,1.3841923090455701,,,,1,5,"Top",,,,,,,4.581761136909696,-127.16954134911477,-6.686583392959157,-8.46498199793561,26.53452316377808,-23.4434827825286,3.15593832,1.592716535,,,,"86.7",488,"5.9",823629,620443,668901,543760,683146,666182,665742,805999,701807,"54.6",,,,,,,,36,4,"Changeup",0,3,3,0,3,0,3,0,"Standard","Standard",256,"-0.004","0.129",,,,,"-0.129",,-3,3,0.175,0.825,33,28,33,28,3,2,6,2,85,1,"2.29","0.69","-0.69","42.4",,,,,
"FF","2026-05-15","94.9","-1.02","5.62","Junk, Janson",670764,676083,,"ball",,,,,11,,"R","L","R","TB","MIA","B",,,1,2,2026,"-0.43","1.67",-0.7463680035628463,3.4655732314160357,,676439,,1,6,"Bot",,,,,,,1.690914199730271,-138.07733676842008,-3.5148354741959222,-5.854900916709262,36.77488036702892,-10.418275654540151,3.055889108,1.542224409,,,,"94.1",2416,"6.3",822983,691788,666624,669364,681393,672640,669065,805300,665923,"54.22",,,,,,,,53,4,"4-Seam Fastball",7,2,7,2,2,7,7,2,"Standard","Standard",207,"0","0.031",,,,,"-0.031",,5,5,0.975,0.975,30,29,30,30,3,2,6,2,5,1,"0.9","0.43","-0.43","43.0",,,,,
